#Barcode	aroC	dnaN	hemD	hisD	purE	sucA	thrA
SAL_AA1000AA	10	7	12	9	5	9	2
SAL_AA1130AA	10	7	12	9	5	9	2
SAL_AA1266AA	10	7	12	9	5	9	2
SAL_AA1386AA	10	7	12	9	5	9	2
SAL_AA1528AA	10	7	12	9	5	9	2
SAL_AA2086AA	10	19	12	9	5	9	2
SAL_AA2188AA	10	19	12	9	5	9	2
SAL_AA2292AA	10	19	12	9	5	9	2
SAL_AA3513AA	10	7	12	9	5	55	2
SAL_AA4577AA	10	7	12	9	112	9	2
