#Barcode	aroC	dnaN	hemD	hisD	purE	sucA	thrA
SAL_BA9424AA	99	175	58	11	111	9	2
SAL_BA5832AA	93	4	18	89	5	96	87
SAL_FA5215AA	92	14	18	506	6	386	14
SAL_FA5911AA	92	125	78	128	138	9	141
SAL_CA4817AA	92	107	79	156	64	151	87
SAL_BA6623AA	9	9	6	12	9	481	2
SAL_KA0707AA	9	9	6	12	9	12	2
SAL_GA3475AA	88	26	30	87	21	87	80
SAL_DA8765AA	84	76	38	16	12	13	4
SAL_BA9258AA	84	11	16	42	40	71	4
